"Datum";"Mitarbeiter";"Beschreibung";"Beobachtung_Start";"Beobachtung_Stopp";"Tätigkeit";"Startzeit";"Stoppzeit";"Dauer_Sekunden"
"04.09.2026";"Martin";"Vorfertigung Wandelement 1";"04.09.2026 07:05:00";"04.09.2026 07:48:12";"Hölzer auflegen";"04.09.2026 07:32:14";"04.09.2026 07:37:21";"307,0"
"04.09.2026";"Martin";"Vorfertigung Wandelement 1";"04.09.2026 07:05:00";"04.09.2026 07:48:12";"Schrauben suchen";"04.09.2026 07:37:21";"04.09.2026 07:43:13";"352,0"
"04.09.2026";"Martin";"Vorfertigung Wandelement 1";"04.09.2026 07:05:00";"04.09.2026 07:48:12";"Arbeitsplatz aufräumen";"04.09.2026 07:43:13";"04.09.2026 07:48:12";"299,0"
"04.09.2026";"Thomas";"Vorfertigung Wandelement 2";"04.09.2026 09:10:00";"04.09.2026 09:39:44";"Material holen";"04.09.2026 09:10:00";"04.09.2026 09:12:12";"132,0"
"04.09.2026";"Thomas";"Vorfertigung Wandelement 2";"04.09.2026 09:10:00";"04.09.2026 09:39:44";"Messen";"04.09.2026 09:12:12";"04.09.2026 09:17:33";"321,0"
"04.09.2026";"Thomas";"Vorfertigung Wandelement 2";"04.09.2026 09:10:00";"04.09.2026 09:39:44";"Pläne lesen";"04.09.2026 09:17:33";"04.09.2026 09:17:56";"23,0"
"04.09.2026";"Thomas";"Vorfertigung Wandelement 2";"04.09.2026 09:10:00";"04.09.2026 09:39:44";"Rücksprache mit Kollegen";"04.09.2026 09:17:56";"04.09.2026 09:19:37";"101,0"
"04.09.2026";"Thomas";"Vorfertigung Wandelement 2";"04.09.2026 09:10:00";"04.09.2026 09:39:44";"Arbeitsplatz aufräumen";"04.09.2026 09:19:37";"04.09.2026 09:23:33";"236,0"
"04.09.2026";"Thomas";"Vorfertigung Wandelement 2";"04.09.2026 09:10:00";"04.09.2026 09:39:44";"Werkzeug holen";"04.09.2026 09:23:33";"04.09.2026 09:26:15";"162,0"
"04.09.2026";"Thomas";"Vorfertigung Wandelement 2";"04.09.2026 09:10:00";"04.09.2026 09:39:44";"Hölzer verschrauben";"04.09.2026 09:26:15";"04.09.2026 09:28:25";"130,0"
"04.09.2026";"Thomas";"Vorfertigung Wandelement 2";"04.09.2026 09:10:00";"04.09.2026 09:39:44";"Rücksprache mit Kollegen";"04.09.2026 09:28:25";"04.09.2026 09:31:37";"192,0"
"04.09.2026";"Thomas";"Vorfertigung Wandelement 2";"04.09.2026 09:10:00";"04.09.2026 09:39:44";"Hölzer ausrichten";"04.09.2026 09:31:37";"04.09.2026 09:32:44";"67,0"
"04.09.2026";"Thomas";"Vorfertigung Wandelement 2";"04.09.2026 09:10:00";"04.09.2026 09:39:44";"Material holen";"04.09.2026 09:32:44";"04.09.2026 09:33:53";"69,0"
"04.09.2026";"Thomas";"Vorfertigung Wandelement 2";"04.09.2026 09:10:00";"04.09.2026 09:39:44";"Werkzeug holen";"04.09.2026 09:33:53";"04.09.2026 09:37:09";"196,0"
"04.09.2026";"Thomas";"Vorfertigung Wandelement 2";"04.09.2026 09:10:00";"04.09.2026 09:39:44";"Bohren";"04.09.2026 09:37:09";"04.09.2026 09:39:44";"155,0"
"05.09.2026";"Stefan";"Montage Holzrahmen";"05.09.2026 07:20:00";"05.09.2026 07:59:10";"Rücksprache mit Kollegen";"05.09.2026 07:20:00";"05.09.2026 07:20:42";"42,0"
"05.09.2026";"Stefan";"Montage Holzrahmen";"05.09.2026 07:20:00";"05.09.2026 07:59:10";"Arbeitsplatz aufräumen";"05.09.2026 07:20:42";"05.09.2026 07:24:57";"255,0"
"05.09.2026";"Stefan";"Montage Holzrahmen";"05.09.2026 07:20:00";"05.09.2026 07:59:10";"Anzeichnen";"05.09.2026 07:24:57";"05.09.2026 07:26:20";"83,0"
"05.09.2026";"Stefan";"Montage Holzrahmen";"05.09.2026 07:20:00";"05.09.2026 07:59:10";"Fehler korrigieren";"05.09.2026 07:26:20";"05.09.2026 07:29:53";"213,0"
"05.09.2026";"Stefan";"Montage Holzrahmen";"05.09.2026 07:20:00";"05.09.2026 07:59:10";"Hölzer ausrichten";"05.09.2026 07:29:53";"05.09.2026 07:34:55";"302,0"
"05.09.2026";"Stefan";"Montage Holzrahmen";"05.09.2026 07:20:00";"05.09.2026 07:59:10";"Pläne lesen";"05.09.2026 07:34:55";"05.09.2026 07:40:36";"341,0"
"05.09.2026";"Stefan";"Montage Holzrahmen";"05.09.2026 07:20:00";"05.09.2026 07:59:10";"Bohren";"05.09.2026 07:40:36";"05.09.2026 07:44:01";"205,0"
"05.09.2026";"Stefan";"Montage Holzrahmen";"05.09.2026 07:20:00";"05.09.2026 07:59:10";"Bohren";"05.09.2026 07:44:01";"05.09.2026 07:45:59";"118,0"
"05.09.2026";"Stefan";"Montage Holzrahmen";"05.09.2026 07:20:00";"05.09.2026 07:59:10";"Arbeitsplatz aufräumen";"05.09.2026 07:45:59";"05.09.2026 07:46:54";"55,0"
"05.09.2026";"Stefan";"Montage Holzrahmen";"05.09.2026 07:20:00";"05.09.2026 07:59:10";"Hölzer auflegen";"05.09.2026 07:46:54";"05.09.2026 07:52:52";"358,0"
"05.09.2026";"Stefan";"Montage Holzrahmen";"05.09.2026 07:20:00";"05.09.2026 07:59:10";"Schrauben suchen";"05.09.2026 07:52:52";"05.09.2026 07:55:40";"168,0"
"05.09.2026";"Stefan";"Montage Holzrahmen";"05.09.2026 07:20:00";"05.09.2026 07:59:10";"Hölzer ausrichten";"05.09.2026 07:55:40";"05.09.2026 07:57:59";"139,0"
"05.09.2026";"Stefan";"Montage Holzrahmen";"05.09.2026 07:20:00";"05.09.2026 07:59:10";"Auf Maschine warten";"05.09.2026 07:57:59";"05.09.2026 07:59:10";"71,0"
"05.09.2026";"Martin";"Vorfertigung Deckenelement";"05.09.2026 10:00:00";"05.09.2026 10:42:33";"Material holen";"05.09.2026 10:00:00";"05.09.2026 10:02:42";"162,0"
"05.09.2026";"Martin";"Vorfertigung Deckenelement";"05.09.2026 10:00:00";"05.09.2026 10:42:33";"Messen";"05.09.2026 10:02:42";"05.09.2026 10:08:27";"345,0"
"05.09.2026";"Martin";"Vorfertigung Deckenelement";"05.09.2026 10:00:00";"05.09.2026 10:42:33";"Auf Maschine warten";"05.09.2026 10:08:27";"05.09.2026 10:11:53";"206,0"
"05.09.2026";"Martin";"Vorfertigung Deckenelement";"05.09.2026 10:00:00";"05.09.2026 10:42:33";"Hölzer verschrauben";"05.09.2026 10:11:53";"05.09.2026 10:15:22";"209,0"
"05.09.2026";"Martin";"Vorfertigung Deckenelement";"05.09.2026 10:00:00";"05.09.2026 10:42:33";"Werkzeug holen";"05.09.2026 10:15:22";"05.09.2026 10:17:29";"127,0"
"05.09.2026";"Martin";"Vorfertigung Deckenelement";"05.09.2026 10:00:00";"05.09.2026 10:42:33";"Bauteil wenden";"05.09.2026 10:17:29";"05.09.2026 10:20:05";"156,0"
"05.09.2026";"Martin";"Vorfertigung Deckenelement";"05.09.2026 10:00:00";"05.09.2026 10:42:33";"Arbeitsplatz aufräumen";"05.09.2026 10:20:05";"05.09.2026 10:25:56";"351,0"
"05.09.2026";"Martin";"Vorfertigung Deckenelement";"05.09.2026 10:00:00";"05.09.2026 10:42:33";"Hölzer ausrichten";"05.09.2026 10:25:56";"05.09.2026 10:31:27";"331,0"
"05.09.2026";"Martin";"Vorfertigung Deckenelement";"05.09.2026 10:00:00";"05.09.2026 10:42:33";"Bauteil wenden";"05.09.2026 10:31:27";"05.09.2026 10:33:14";"107,0"
"05.09.2026";"Martin";"Vorfertigung Deckenelement";"05.09.2026 10:00:00";"05.09.2026 10:42:33";"Anzeichnen";"05.09.2026 10:33:14";"05.09.2026 10:35:39";"145,0"
"05.09.2026";"Martin";"Vorfertigung Deckenelement";"05.09.2026 10:00:00";"05.09.2026 10:42:33";"Hölzer verschrauben";"05.09.2026 10:35:39";"05.09.2026 10:39:55";"256,0"
"05.09.2026";"Martin";"Vorfertigung Deckenelement";"05.09.2026 10:00:00";"05.09.2026 10:42:33";"Material holen";"05.09.2026 10:39:55";"05.09.2026 10:42:33";"158,0"
